name,firstName,lastName,Email,Department,Region,Location,Inactive,Job Title,Cost Center
James.Smith,James,Smith,James.Smith@demoexample.com,Executive Management,Americas,Austin,FALSE,,R03, L07, L08, L09
Mary.Johnson,Mary,Johnson,Mary.Johnson@demoexample.com,Regional Operations,Americas,Austin,FALSE,Global Infrastructure Manager,R03, L07
D'Arcy.O'Mahoney,D'Arcy,O'Mahoney,D'Arcy.O'Mahoney@demoexample.com,Regional Operations,Americas,Austin,FALSE,Global Infrastructure Manager,R03, L07
John.Williams,John,Williams,John.Williams@demoexample.com,Regional Operations,Americas,Brazil,FALSE,,R03, L09
Patricia.Jones,Patricia,Jones,Patricia.Jones@demoexample.com,Regional Operations,Americas,San Jose,FALSE,,R03, L08
Robert.Brown,Robert,Brown,Robert.Brown@demoexample.com,Information Technology,Americas,Austin,FALSE,IT Database Manager,R03e, L07
Linda.Davis,Linda,Davis,Linda.Davis@demoexample.com,Information Technology,Americas,Austin,FALSE,Information Security Analyst,R03e, L07
Michael.Miller,Michael,Miller,Michael.Miller@demoexample.com,Engineering,Americas,Austin,FALSE,Senior Production Manager,R03e, L07
Barbara.Wilson,Barbara,Wilson,Barbara.Wilson@demoexample.com,Engineering,Americas,Austin,FALSE,Production Manager,R03e, L07
William.Moore,William,Moore,William.Moore@demoexample.com,Human Resources,Americas,Brazil,FALSE,HR Manager,R03e, L09
Elizabeth.Taylor,Elizabeth,Taylor,Elizabeth.Taylor@demoexample.com,Human Resources,Americas,Brazil,FALSE,Training & Development Specialist,R03e, L09
David.Anderson,David,Anderson,David.Anderson@demoexample.com,Inventory,Americas,Brazil,FALSE,Procurement Manager,R03e, L09
Jennifer.Thomas,Jennifer,Thomas,Jennifer.Thomas@demoexample.com,Inventory,Americas,Brazil,FALSE,Cost Savings Analyst,R03e, L09
Richard.Jackson,Richard,Jackson,Richard.Jackson@demoexample.com,Accounting,Americas,San Jose,FALSE,Senior Finance Manager,R03e, L08
Maria.White,Maria,White,Maria.White@demoexample.com,Accounting,Americas,San Jose,FALSE,,R03e, L08
Charles.Harris,Charles,Harris,Charles.Harris@demoexample.com,Finance,Americas,San Jose,FALSE,Data Analyst,R03e, L08
